millis,stamp,datetime,soil moisture
1999,1565961060, 2019/8/16 13:11:0,102
3999,1565961060, 2019/8/16 13:11:0,100
5999,1565961060, 2019/8/16 13:11:0,100
7999,1565961060, 2019/8/16 13:11:0,101
9999,1565961060, 2019/8/16 13:11:0,101
11999,1565961060, 2019/8/16 13:11:0,101
14000,1565961060, 2019/8/16 13:11:0,354
16000,1565961060, 2019/8/16 13:11:0,392
17999,1565961060, 2019/8/16 13:11:0,416
19999,1565961060, 2019/8/16 13:11:0,102
21999,1565961060, 2019/8/16 13:11:0,100
23999,1565961060, 2019/8/16 13:11:0,100
25999,1565961060, 2019/8/16 13:11:0,101
27999,1565961060, 2019/8/16 13:11:0,101
29999,1565961060, 2019/8/16 13:11:0,101
32000,1565961060, 2019/8/16 13:11:0,101
33999,1565961060, 2019/8/16 13:11:0,100
35999,1565961060, 2019/8/16 13:11:0,102
37999,1565961060, 2019/8/16 13:11:0,101
39999,1565961060, 2019/8/16 13:11:0,101
41999,1565961060, 2019/8/16 13:11:0,100
43999,1565961060, 2019/8/16 13:11:0,100
45999,1565961060, 2019/8/16 13:11:0,101
48000,1565961060, 2019/8/16 13:11:0,109
49999,1565961060, 2019/8/16 13:11:0,128
51999,1565961060, 2019/8/16 13:11:0,159
53999,1565961060, 2019/8/16 13:11:0,147
55999,1565961060, 2019/8/16 13:11:0,137
57999,1565961060, 2019/8/16 13:11:0,118
